time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-15T12:57:26.187Z,64.6304,-147.6261,8.7,0.5,ml,,,,0.25,ak,ak0237mqp33a,2023-06-15T12:59:58.301Z,"Central Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-06-15T12:40:24.280Z,33.5268333,-116.7303333,4.47,0.42,ml,22,52,0.0389,0.1,ci,ci40486544,2023-06-15T18:31:30.712Z,"6km WSW of Anza, CA",earthquake,0.15,0.26,0.164,11,reviewed,ci,ci
2023-06-15T12:37:23.573Z,66.3318,-141.853,8.2,2,ml,,,,0.93,ak,ak0237mqksj7,2023-06-15T12:39:53.726Z,"90 km ESE of Chalkyitsik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-06-15T12:28:55.960Z,36.821,-120.75,9.67,1.81,md,36,65,0.01457,0.18,nc,nc73901341,2023-06-15T21:11:11.495Z,"18km SSW of South Dos Palos, CA",earthquake,0.41,0.29,0.234,35,reviewed,nc,nc
2023-06-15T12:18:26.189Z,66.3698,-142.0414,21.2,3.1,ml,,,,0.72,ak,ak0237mqgq0i,2023-06-15T14:00:38.402Z,"81 km ESE of Chalkyitsik, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2023-06-15T12:01:55.600Z,32.9183333,-116.3448333,9.19,1.77,ml,51,61,0.05023,0.19,ci,ci40486512,2023-06-15T13:12:40.920Z,"20km ENE of Pine Valley, CA",earthquake,0.21,0.58,0.199,27,reviewed,ci,ci
2023-06-15T11:51:53.770Z,40.2416667,-121.1515,5.89,2.87,md,41,28,0.007624,0.28,nc,nc73901331,2023-06-15T23:28:13.307Z,"4km NE of Almanor, CA",earthquake,0.41,0.66,0.18,86,reviewed,nc,nc
2023-06-15T11:45:30.150Z,36.5843333,-121.1913333,7.42,1.17,md,21,137,0.01348,0.09,nc,nc73901326,2023-06-15T19:53:18.076Z,"7km NW of Pinnacles, CA",earthquake,0.32,0.46,0.206,16,reviewed,nc,nc
2023-06-15T11:43:41.220Z,36.5456667,-121.1296667,4.38,1.95,md,35,81,0.01863,0.12,nc,nc73901321,2023-06-15T19:32:15.947Z,"2km NE of Pinnacles, CA",earthquake,0.26,0.48,0.171,37,reviewed,nc,nc
2023-06-15T11:37:12.292Z,61.695,-150.163,1.8,2.2,ml,,,,0.57,ak,ak0237mpzc0u,2023-06-15T14:09:28.540Z,"Southern Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-06-15T11:31:37.350Z,38.969,-123.2598333,5.41,1.49,md,19,63,0.0598,0.08,nc,nc73901316,2023-06-15T20:41:19.472Z,"10km ESE of Boonville, CA",earthquake,0.19,0.52,0.162,21,reviewed,nc,nc
2023-06-15T11:28:57.557Z,61.6368,-150.17,11,1.6,ml,,,,0.4,ak,ak0237mpxi4b,2023-06-15T11:30:21.559Z,"14 km SSW of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-06-15T11:25:32.598Z,58.8933,-152.4242,55.1,2,ml,,,,0.53,ak,ak0237mpwt1n,2023-06-15T11:27:49.594Z,"59 km SSW of Nanwalek, Alaska",earthquake,,0.6,,,automatic,ak,ak
